method,allocator,seed,selected_step,accuracy,accuracy_percent,correct_predictions,evaluation_examples,selected_active_parameters,selected_active_rank,final_active_parameters,final_active_rank,allocator_stop_step,allocator_stop_reason,runtime_seconds,completed_steps,run_directory,telemetry_artifact,results_artifact,trainer_state_artifact,rank_pattern_artifact,best_checkpoint
Greedy IncreLoRA,greedy,41,1200,0.8592057761732852,85.92057761732852,238,277,876412,122,924050,144,,,1503.3078,1950,NLU/output/glue/rte_allocator/greedy/ali_last_seed41,NLU/output/glue/rte_allocator/greedy/ali_last_seed41/telemetry.jsonl,NLU/output/glue/rte_allocator/greedy/ali_last_seed41/model/all_results.json,NLU/output/glue/rte_allocator/greedy/ali_last_seed41/model/trainer_state.json,NLU/output/glue/rte_allocator/greedy/ali_last_seed41/rank_pattern.json,NLU/output/glue/rte_allocator/greedy/ali_last_seed41/model/checkpoint-1200
C-GEAR,genetic_budgeted_calibrated,41,1600,0.8844765342960289,88.4476534296029,245,277,836456,102,853357,107,1650,minimum_consolidation_window,1844.605,1950,NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed41_budget0.94,NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed41_budget0.94/telemetry.jsonl,NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed41_budget0.94/model/all_results.json,NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed41_budget0.94/model/trainer_state.json,NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed41_budget0.94/rank_pattern.json,NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed41_budget0.94/model/checkpoint-1600
Greedy IncreLoRA,greedy,42,300,0.8772563176895307,87.72563176895306,243,277,774991,77,940178,144,,,1508.7092,1950,NLU/output/glue/rte_allocator/greedy/ali_last_seed42,NLU/output/glue/rte_allocator/greedy/ali_last_seed42/telemetry.jsonl,NLU/output/glue/rte_allocator/greedy/ali_last_seed42/model/all_results.json,NLU/output/glue/rte_allocator/greedy/ali_last_seed42/model/trainer_state.json,NLU/output/glue/rte_allocator/greedy/ali_last_seed42/rank_pattern.json,NLU/output/glue/rte_allocator/greedy/ali_last_seed42/model/checkpoint-300
C-GEAR,genetic_budgeted_calibrated,42,700,0.8736462093862816,87.36462093862815,242,277,758090,72,758090,72,300,zero_rank_patience_exhausted,1517.964,1950,NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed42_budget0.94,NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed42_budget0.94/telemetry.jsonl,NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed42_budget0.94/model/all_results.json,NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed42_budget0.94/model/trainer_state.json,NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed42_budget0.94/rank_pattern.json,NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed42_budget0.94/model/checkpoint-700
Greedy IncreLoRA,greedy,43,1800,0.8844765342960289,88.4476534296029,245,277,935570,144,935570,144,,,1494.5223,1950,NLU/output/glue/rte_allocator/greedy/ali_last_seed43,NLU/output/glue/rte_allocator/greedy/ali_last_seed43/telemetry.jsonl,NLU/output/glue/rte_allocator/greedy/ali_last_seed43/model/all_results.json,NLU/output/glue/rte_allocator/greedy/ali_last_seed43/model/trainer_state.json,NLU/output/glue/rte_allocator/greedy/ali_last_seed43/rank_pattern.json,NLU/output/glue/rte_allocator/greedy/ali_last_seed43/model/checkpoint-1800
C-GEAR,genetic_budgeted_calibrated,43,600,0.8628158844765343,86.28158844765343,239,277,771920,78,806492,90,1300,zero_rank_patience_exhausted,1783.7234,1950,NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed43_budget0.94,NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed43_budget0.94/telemetry.jsonl,NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed43_budget0.94/model/all_results.json,NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed43_budget0.94/model/trainer_state.json,NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed43_budget0.94/rank_pattern.json,NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed43_budget0.94/model/checkpoint-600
Greedy IncreLoRA,greedy,44,400,0.8736462093862816,87.36462093862815,242,277,787284,82,935570,144,,,1507.8027,1950,NLU/output/glue/rte_allocator/greedy/ali_last_seed44,NLU/output/glue/rte_allocator/greedy/ali_last_seed44/telemetry.jsonl,NLU/output/glue/rte_allocator/greedy/ali_last_seed44/model/all_results.json,NLU/output/glue/rte_allocator/greedy/ali_last_seed44/model/trainer_state.json,NLU/output/glue/rte_allocator/greedy/ali_last_seed44/rank_pattern.json,NLU/output/glue/rte_allocator/greedy/ali_last_seed44/model/checkpoint-400
C-GEAR,genetic_budgeted_calibrated,44,700,0.8880866425992779,88.8086642599278,246,277,811103,93,812640,94,1000,zero_rank_patience_exhausted,1719.8707,1950,NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed44_budget0.94,NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed44_budget0.94/telemetry.jsonl,NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed44_budget0.94/model/all_results.json,NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed44_budget0.94/model/trainer_state.json,NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed44_budget0.94/rank_pattern.json,NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed44_budget0.94/model/checkpoint-700
Greedy IncreLoRA,greedy,45,600,0.8700361010830325,87.00361010830325,241,277,818782,92,933266,144,,,1508.7008,1950,NLU/output/glue/rte_allocator/greedy/ali_last_seed45,NLU/output/glue/rte_allocator/greedy/ali_last_seed45/telemetry.jsonl,NLU/output/glue/rte_allocator/greedy/ali_last_seed45/model/all_results.json,NLU/output/glue/rte_allocator/greedy/ali_last_seed45/model/trainer_state.json,NLU/output/glue/rte_allocator/greedy/ali_last_seed45/rank_pattern.json,NLU/output/glue/rte_allocator/greedy/ali_last_seed45/model/checkpoint-600
C-GEAR,genetic_budgeted_calibrated,45,1600,0.8808664259927798,88.08664259927798,244,277,835689,103,835689,103,1650,minimum_consolidation_window,1871.8991,1950,NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed45_budget0.94,NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed45_budget0.94/telemetry.jsonl,NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed45_budget0.94/model/all_results.json,NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed45_budget0.94/model/trainer_state.json,NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed45_budget0.94/rank_pattern.json,NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed45_budget0.94/model/checkpoint-1600
