source_artifact,schema_version,method,seed,run_segment,global_step,wall_time_seconds,selected_candidate_id,selected_k,selected_event_rank,selected_source,selected_modules,selected_module_count,rank_increments,pre_total_active_rank,post_total_active_rank,total_active_rank,pre_active_parameter_count,post_active_parameter_count,active_model_parameter_count,runtime_trainable_parameter_count,target_active_parameter_count,budget_used,remaining_hard_budget,zero_rank_patience,zero_growth,allocation_stopped,stop_reason
NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed41_budget0.94/telemetry.jsonl,rank_telemetry.v1,genetic_budgeted_calibrated,41,0,200,186.24985137400017,candidate_000,5,5,calibrated_greedy_anchor,"[""deberta.encoder.layer.5.intermediate.dense"",""deberta.encoder.layer.8.attention.self.value_proj"",""deberta.encoder.layer.9.attention.output.dense"",""deberta.encoder.layer.9.intermediate.dense"",""deberta.encoder.layer.10.attention.output.dense""]",5,"{""deberta.encoder.layer.10.attention.output.dense"":1,""deberta.encoder.layer.5.intermediate.dense"":1,""deberta.encoder.layer.8.attention.self.value_proj"":1,""deberta.encoder.layer.9.attention.output.dense"":1,""deberta.encoder.layer.9.intermediate.dense"":1}",72,77,77,758090,770383,770383,936271,868607,770383,98224,0,false,false,
NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed41_budget0.94/telemetry.jsonl,rank_telemetry.v1,genetic_budgeted_calibrated,41,0,300,287.74054733400044,candidate_003,1,1,calibrated_greedy_neighborhood,"[""deberta.encoder.layer.9.attention.output.dense""]",1,"{""deberta.encoder.layer.9.attention.output.dense"":1}",77,78,78,770383,771920,771920,937808,868607,771920,96687,0,false,false,
NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed41_budget0.94/telemetry.jsonl,rank_telemetry.v1,genetic_budgeted_calibrated,41,0,400,391.9427682080004,candidate_003,1,1,calibrated_greedy_neighborhood,"[""deberta.encoder.layer.6.attention.self.key_proj""]",1,"{""deberta.encoder.layer.6.attention.self.key_proj"":1}",78,79,79,771920,773457,773457,939345,868607,773457,95150,0,false,false,
NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed41_budget0.94/telemetry.jsonl,rank_telemetry.v1,genetic_budgeted_calibrated,41,0,500,493.6615230719999,candidate_005,1,1,calibrated_greedy_neighborhood,"[""deberta.encoder.layer.7.intermediate.dense""]",1,"{""deberta.encoder.layer.7.intermediate.dense"":1}",79,80,80,773457,777298,777298,943186,868607,777298,91309,0,false,false,
NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed41_budget0.94/telemetry.jsonl,rank_telemetry.v1,genetic_budgeted_calibrated,41,0,600,593.4023707269998,candidate_001,1,1,calibrated_greedy_neighborhood,"[""deberta.encoder.layer.6.attention.output.dense""]",1,"{""deberta.encoder.layer.6.attention.output.dense"":1}",80,81,81,777298,778835,778835,944723,868607,778835,89772,0,false,false,
NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed41_budget0.94/telemetry.jsonl,rank_telemetry.v1,genetic_budgeted_calibrated,41,0,700,697.6184196739996,candidate_002,5,5,calibrated_global_ga,"[""deberta.encoder.layer.3.output.dense"",""deberta.encoder.layer.4.output.dense"",""deberta.encoder.layer.6.attention.output.dense"",""deberta.encoder.layer.10.output.dense"",""deberta.encoder.layer.11.intermediate.dense""]",5,"{""deberta.encoder.layer.10.output.dense"":1,""deberta.encoder.layer.11.intermediate.dense"":1,""deberta.encoder.layer.3.output.dense"":1,""deberta.encoder.layer.4.output.dense"":1,""deberta.encoder.layer.6.attention.output.dense"":1}",81,86,86,778835,795736,795736,961624,868607,795736,72871,0,false,false,
NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed41_budget0.94/telemetry.jsonl,rank_telemetry.v1,genetic_budgeted_calibrated,41,0,800,798.3761323190001,candidate_001,1,1,calibrated_greedy_neighborhood,"[""deberta.encoder.layer.2.intermediate.dense""]",1,"{""deberta.encoder.layer.2.intermediate.dense"":1}",86,87,87,795736,799577,799577,965465,868607,799577,69030,0,false,false,
NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed41_budget0.94/telemetry.jsonl,rank_telemetry.v1,genetic_budgeted_calibrated,41,0,900,902.5417846460005,candidate_006,0,0,calibrated_zero_rank,[],0,{},87,87,87,799577,799577,799577,965465,868607,799577,69030,1,true,false,
NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed41_budget0.94/telemetry.jsonl,rank_telemetry.v1,genetic_budgeted_calibrated,41,0,1000,1005.4640539809998,candidate_003,1,1,calibrated_greedy_neighborhood,"[""deberta.encoder.layer.11.attention.output.dense""]",1,"{""deberta.encoder.layer.11.attention.output.dense"":1}",87,88,88,799577,801114,801114,967002,868607,801114,67493,0,false,false,
NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed41_budget0.94/telemetry.jsonl,rank_telemetry.v1,genetic_budgeted_calibrated,41,0,1100,1109.4239066549999,candidate_001,2,2,calibrated_greedy_neighborhood,"[""deberta.encoder.layer.5.attention.output.dense"",""deberta.encoder.layer.6.intermediate.dense""]",2,"{""deberta.encoder.layer.5.attention.output.dense"":1,""deberta.encoder.layer.6.intermediate.dense"":1}",88,90,90,801114,806492,806492,972380,868607,806492,62115,0,false,false,
