source_artifact,schema_version,method,seed,run_segment,global_step,wall_time_seconds,event_type,state_role,total_active_rank,active_model_parameter_count,runtime_trainable_parameter_count,full_model_parameter_count,physical_rank_component_count,target_active_parameter_count,selected_event_rank,allocation_stopped,stop_reason
NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed41_budget0.94/telemetry.jsonl,rank_telemetry.v1,genetic_budgeted_calibrated,41,0,0,1.2126533549999294,run_start,initial_trajectory,72,758090,923978,184755674,144,,,,
NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed41_budget0.94/telemetry.jsonl,rank_telemetry.v1,genetic_budgeted_calibrated,41,0,200,186.24985137400017,allocation_event,trajectory,77,770383,936271,184767967,149,868607,5,false,
NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed41_budget0.94/telemetry.jsonl,rank_telemetry.v1,genetic_budgeted_calibrated,41,0,300,287.74054733400044,allocation_event,trajectory,78,771920,937808,184769504,150,868607,1,false,
NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed41_budget0.94/telemetry.jsonl,rank_telemetry.v1,genetic_budgeted_calibrated,41,0,400,391.9427682080004,allocation_event,trajectory,79,773457,939345,184771041,151,868607,1,false,
NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed41_budget0.94/telemetry.jsonl,rank_telemetry.v1,genetic_budgeted_calibrated,41,0,500,493.6615230719999,allocation_event,trajectory,80,777298,943186,184774882,152,868607,1,false,
NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed41_budget0.94/telemetry.jsonl,rank_telemetry.v1,genetic_budgeted_calibrated,41,0,600,593.4023707269998,allocation_event,trajectory,81,778835,944723,184776419,153,868607,1,false,
NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed41_budget0.94/telemetry.jsonl,rank_telemetry.v1,genetic_budgeted_calibrated,41,0,700,697.6184196739996,allocation_event,trajectory,86,795736,961624,184793320,158,868607,5,false,
NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed41_budget0.94/telemetry.jsonl,rank_telemetry.v1,genetic_budgeted_calibrated,41,0,800,798.3761323190001,allocation_event,trajectory,87,799577,965465,184797161,159,868607,1,false,
NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed41_budget0.94/telemetry.jsonl,rank_telemetry.v1,genetic_budgeted_calibrated,41,0,900,902.5417846460005,allocation_event,trajectory,87,799577,965465,184797161,159,868607,0,false,
NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/ali_last_seed41_budget0.94/telemetry.jsonl,rank_telemetry.v1,genetic_budgeted_calibrated,41,0,1000,1005.4640539809998,allocation_event,trajectory,88,801114,967002,184798698,160,868607,1,false,
