method,seed,selected_step,accuracy,correct_predictions,total_examples,selected_active_rank,selected_active_parameters,final_active_rank,final_active_parameters,stop_step,stop_reason,runtime_seconds,source_artifact,notes
Greedy IncreLoRA,41,1200,0.8592057761732852,238,277,122,876412,144,924050,,,1522.7403,NLU/output/glue/rte_allocator/greedy/rte_greedy_fresh_s41_seed41,"Fields verified from trainer_state.json, Eval_rte_results.json, train_results.json, checkpoint-1200/config.json, and rank_pattern.json; correct_predictions is derived exactly as accuracy x 277; runtime_seconds is train_runtime; adaptive stopping is not applicable."
C-GEAR,41,1600,0.8844765342960289,245,277,102,836456,107,853357,1650,minimum_consolidation_window,1851.9587,NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/rte_calibrated_v3_reservefix_retry1_s41_seed41_budget0.94,"Fields verified from trainer_state.json, Eval_rte_results.json, train_results.json, checkpoint-1600/config.json, rank_pattern.json, and terminal.log; correct_predictions is derived exactly as accuracy x 277; runtime_seconds is train_runtime."
Greedy IncreLoRA,42,300,0.8772563176895307,243,277,77,774991,144,940178,,,1529.3948,NLU/output/glue/rte_allocator/greedy/rte_greedy_fresh_s42_seed42,"Fields verified from trainer_state.json, Eval_rte_results.json, train_results.json, checkpoint-300/config.json, and rank_pattern.json; correct_predictions is derived exactly as accuracy x 277; runtime_seconds is train_runtime; adaptive stopping is not applicable."
C-GEAR,42,700,0.8736462093862816,242,277,72,758090,72,758090,300,zero_rank_patience_exhausted,1505.4557,NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/rte_calibrated_v3_reservefix_retry1_s42_seed42_budget0.94,"Fields verified from trainer_state.json, Eval_rte_results.json, train_results.json, checkpoint-700/config.json, rank_pattern.json, and terminal.log; correct_predictions is derived exactly as accuracy x 277; runtime_seconds is train_runtime."
Greedy IncreLoRA,43,1800,0.8844765342960289,245,277,144,935570,144,935570,,,1520.7075,NLU/output/glue/rte_allocator/greedy/rte_greedy_fresh_s43_seed43,"Fields verified from trainer_state.json, Eval_rte_results.json, train_results.json, checkpoint-1800/config.json, and rank_pattern.json; correct_predictions is derived exactly as accuracy x 277; runtime_seconds is train_runtime; adaptive stopping is not applicable."
C-GEAR,43,600,0.8628158844765343,239,277,78,771920,90,806492,1300,zero_rank_patience_exhausted,1778.9331,NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/rte_calibrated_v3_reservefix_retry1_s43_seed43_budget0.94,"Fields verified from trainer_state.json, Eval_rte_results.json, train_results.json, checkpoint-600/config.json, rank_pattern.json, and terminal.log; correct_predictions is derived exactly as accuracy x 277; runtime_seconds is train_runtime."
Greedy IncreLoRA,44,400,0.8736462093862816,242,277,82,787284,144,935570,,,1526.9561,NLU/output/glue/rte_allocator/greedy/rte_greedy_fresh_s44_seed44,"Fields verified from trainer_state.json, Eval_rte_results.json, train_results.json, checkpoint-400/config.json, and rank_pattern.json; correct_predictions is derived exactly as accuracy x 277; runtime_seconds is train_runtime; adaptive stopping is not applicable."
C-GEAR,44,700,0.8880866425992779,246,277,93,811103,94,812640,1000,zero_rank_patience_exhausted,1715.1455,NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/rte_calibrated_v3_reservefix_retry1_s44_seed44_budget0.94,"Fields verified from trainer_state.json, Eval_rte_results.json, train_results.json, checkpoint-700/config.json, rank_pattern.json, and terminal.log; correct_predictions is derived exactly as accuracy x 277; runtime_seconds is train_runtime."
Greedy IncreLoRA,45,600,0.8700361010830325,241,277,92,818782,144,933266,,,1525.7384,NLU/output/glue/rte_allocator/greedy/rte_greedy_fresh_s45_seed45,"Fields verified from trainer_state.json, Eval_rte_results.json, train_results.json, checkpoint-600/config.json, and rank_pattern.json; correct_predictions is derived exactly as accuracy x 277; runtime_seconds is train_runtime; adaptive stopping is not applicable."
C-GEAR,45,1600,0.8808664259927798,244,277,103,835689,103,835689,1650,minimum_consolidation_window,1870.7015,NLU/output/glue/rte_allocator/genetic_budgeted_calibrated/rte_calibrated_v3_reservefix_retry1_s45_seed45_budget0.94,"Fields verified from trainer_state.json, Eval_rte_results.json, train_results.json, checkpoint-1600/config.json, rank_pattern.json, and terminal.log; correct_predictions is derived exactly as accuracy x 277; runtime_seconds is train_runtime."
